_id,name,qty
be29dbc6-d29a-4aef-930c-1919a63af220,prediction-plandemy,31
94b5f9b7-4efc-46d1-abbd-8064a8738b77,project-venus-nwo,16
b5a66010-d9e5-4973-a9cc-1b21b660d622,propagande-classique-nwo,50
7253cfe3-04d2-41b5-80ca-77e1fc3b5635,psyops,12
e85ba693-b998-4f03-b920-7bbc3ac5097d,realityIS,52
4e564650-67c6-452d-9f18-95c688bfc407,revolte,31
a622557e-acb0-48ed-be6c-933f08e45c80,sedonnerlebonroleaubonmoment,8
d67c6127-b2d2-4808-800c-b948e6286352,simpsons,2
074ab0f3-326c-43de-a066-d7b96f4a9f85,socials-planification-automaization,4
f63795fd-dd64-412b-88b5-679a4049c705,solutions,68
7f17056c-83b4-48bc-a638-8639def25154,staycalm___byforce,3
363c33a9-a01c-4507-8d0f-e177e8f49edc,strangerthings,16
e131c1e5-23d8-45eb-8b59-6612a3d117e3,subliminal-tech,4
b147b615-2332-4817-85db-12ffa44d39aa,talismans-sorcellerie&conjecturologues,27
03e47d52-a3f4-46a3-b548-5f95eed1fcdf,timetravel&portals,10
4c9a7754-3768-499f-b3b1-446a54a81d60,toshop-nft-ia,3
605def05-0f8b-4fe3-8566-49b36978f203,transworld,40
c508a28b-f736-4a25-9d10-baad96d617de,tv&programmation,8
182e70c6-682a-4bbc-b4fe-b255d76b7f85,TV&subliminalclues,48
61548b9f-9540-40e4-a1ad-b0095a991c17,usefull idiots & agents smith,10
9c9dc96e-5874-4258-ab00-59ffa9529936,vaccination-globale,8
0db42b68-94d3-403b-ae24-8ca2ad5f9846,vaccines-pro-antis,42
b2b71bb7-419d-40e1-9537-e3cb1c5c9c68,vaccines-testifiers-victims,21
67cc3b7f-fe10-4540-ae4b-1466e8830519,variants&vaccin-covid,48
45d01441-baa4-49b7-baa1-37a058238e0c,web3+ressources+navigation,22
